Summary,Issue Type,Priority,Story Points,Labels,Description
"Como usuario quiero iniciar sesión para acceder solo a las funciones de mi rol",Story,High,8,scrum,"Como usuario, quiero iniciar sesión con correo y contraseña, para acceder solo a las funciones que mi rol permite. CRITERIOS DE ACEPTACION: 1) Credenciales válidas crean cookie httpOnly con JWT y redirigen a /dashboard. 2) Credenciales inválidas muestran 'Credenciales inválidas' sin redirigir. 3) Usuario no autenticado en ruta protegida es redirigido a /login. 4) Cerrar sesión elimina la cookie. 5) Contraseñas con hash bcrypt."
"Como administrador quiero control de acceso por roles para que cada rol tenga permisos específicos",Story,High,5,scrum,"Como administrador, quiero que cada rol tenga permisos específicos, para que vendedores y contadores no accedan a funciones que no les corresponden. CRITERIOS: 1) ADMIN accede a todos los módulos. 2) VENDEDOR solo ventas, inventario (ver) y clientes. 3) CONTADOR gestiona gastos y facturas, ve reportes. 4) Sin permiso, la API responde 403. 5) El menú lateral filtra por rol."
"Como vendedor quiero registrar ventas con un POS para cobrar de forma ágil y correcta",Story,High,8,scrum,"Como vendedor, quiero registrar ventas con un punto de venta rápido, para cobrar a los clientes de forma ágil y correcta. CRITERIOS: 1) Carrito con búsqueda por nombre o SKU. 2) Descuento global; ITBIS 18% sobre subtotal menos descuento. 3) Total redondeado a 2 decimales en RD$. 4) Número correlativo por empresa (V-0001...). 5) Stock disminuye en transacción. 6) Error 'Stock insuficiente' si se excede. 7) Notificación de stock crítico si queda bajo el mínimo."
"Como vendedor quiero devolver ventas completadas para revertir la operación",Story,Medium,3,scrum,"Como vendedor, quiero devolver una venta completada, para revertir la operación cuando el cliente devuelve mercancía. CRITERIOS: 1) Solo ventas en estado COMPLETADA. 2) El stock se incrementa y la venta pasa a DEVUELTA. 3) Doble devolución muestra 'La venta ya fue devuelta'."
"Como administrador quiero gestionar inventario con stock mínimo para no quedarme sin mercancía",Story,High,8,scrum,"Como administrador, quiero administrar productos, categorías y niveles de stock, para no quedarme sin mercancía ni sobrecomprar. CRITERIOS: 1) CRUD de productos con SKU único. 2) CRUD de categorías. 3) SKU duplicado rechazado. 4) Producto con ventas no se elimina. 5) Filtro de stock bajo (stock <= mínimo). 6) Ajuste no deja stock negativo y notifica bajo mínimo. 7) Valorización al costo y retail."
"Como administrador quiero sugerencia de compra para mantener cobertura de 14 días",Story,Medium,3,scrum,"Como administrador, quiero saber cuántas unidades comprar de cada producto, para mantener cobertura de 14 días. CRITERIOS: 1) Sugerencia = venta promedio 30 días x 14 - stock actual. 2) Con cobertura suficiente, sugerencia 0. 3) Sin ventas y stock bajo, sugiere 2x stock mínimo."
"Como vendedor quiero gestionar clientes para registrar sus compras",Story,Medium,5,scrum,"Como vendedor, quiero gestionar clientes, para registrar sus compras y conocer a los más valiosos. CRITERIOS: 1) CRUD de clientes (nombre, email, teléfono, RNC/RIF, dirección). 2) Búsqueda por nombre, email o documento. 3) Detalle: total gastado, compras, última compra, producto favorito. 4) Top clientes por monto."
"Como administrador quiero gestionar proveedores y empleados para mantener los datos actualizados",Story,Medium,5,scrum,"Como administrador, quiero gestionar proveedores y empleados, para mantener actualizados los datos de aliados comerciales y del equipo. CRITERIOS: 1) CRUD de proveedores con búsqueda. 2) CRUD de empleados con búsqueda. 3) No se elimina proveedor con órdenes ni empleado con ventas."
"Como contador quiero registrar gastos para controlar los egresos",Story,Medium,3,scrum,"Como contador, quiero registrar los gastos del negocio, para tener control de los egresos. CRITERIOS: 1) Creación con concepto, monto, fecha, categoría y método de pago. 2) Filtros por rango de fechas y categoría. 3) Edición y eliminación."
"Como contador quiero emitir facturas y registrar pagos para controlar cuentas por cobrar",Story,High,5,scrum,"Como contador, quiero emitir facturas y registrar sus pagos, para controlar las cuentas por cobrar. CRITERIOS: 1) Número correlativo F-0001... 2) Estados PENDIENTE, PARCIAL, PAGADA, CANCELADA. 3) Pagos parciales o totales; PAGADA al cubrir total. 4) No se permite pago mayor al saldo. 5) Cancelación validada."
